label,text
0.0,"@NYRKelsMads @popup82 Its Perfection. My brain crossed wires or something, I dont know why I came up with Concentration,maybe the ghetto one"
0.0,RT @Hokuboku: I like how I found out that you can now edit Facebook comments through a trending topic on Twitter. You think I'd hear abo ...
0.0,"RT @Dceni33: Not the ""farewell tour's"" fault everyone but three players underachieved for the Yankees this year."
0.0,RT @Kstar__: Told you RT @Astronaut_Tone: Artprize is more than trash
1.0,"""@_prettyflvck0: Me And Paul Thinkin Bout Gettin Rentals For Da Weekend &#128665;&#128168;&#128168;""oooh shit bitches betta stay out da streets"
0.0,"Nicholas Rushlow, wearing lucky yellow shirt, nails ""theophylline"" - ""bitter crystalline compound extracted from tea leaves"" #spellingbee"
1.0,"""@TheGamerKingKev: I wonder if the girl that gave head to 24 boys for a drink in magaluf has twitter"" she probly sends nudes for fags"
1.0,@DaDamnBone &#128514;&#128514; I'm Finna DM you the pic Bruh these hoes funny
1.0,"""@michelle_westt: Facts ""@POONsoaker: Only the dudes with hoes say they don't got hoes&#8221;"" @J_Austin12"
0.0,RT @BirdGang316: If you a bird throw it up #birdgang #EaglesNation
1.0,Niggas deserve better bitches
0.0,@schola_gomes oh I'll make you some brownies alright;)))
0.0,"Rev. Charlie Rangel: What Unions Stand For Are &#8220;Spiritual Damn Things&#8221;&#8230; LIKE INFLATABLE RATS. 

 http://t.co/2nmrLDvIgB"
1.0,@JewelsAndDrugs9 @ladygaga @madonna lmao madonnas music sucks? yeah you're fucking stupid if you think gaga is better. retard
0.0,Miami's run defense is Alex Smith trash.
1.0,#bslfe in this bitch #PullUp 40st and Washington space A-80 http://t.co/H2HV64h9wh
1.0,@Benny_Balboa not to yall thou! Yalll fucking glad bag trash
0.0,RT @AyeYoitsDupree: Rape is NEVER something to mock like this. I stand with Jada #jadapose http://t.co/uEbuOBwTbg
1.0,&#8220;@TheRealTenski: Miss you @Ex&#8221; pussy
1.0,"Playing to white guilt lasted one last time, whitey felt 'absolved', it ends today. It ends in the fields/suburbs of Pennsylvania."
0.0,"Surprise, surprise! TSA trashes Brandon Darby's Border Patrol sources http://t.co/EtDKzFrRzK"
0.0,Sorry all my fellow negros
1.0,&#8220;@thepizzafacts: Cute text: ey bitch come over for some pizza&#8221;@KellieNehls
1.0,Liberty and justice for all RT @ThatAngryNigga Go get me a sandwich nigger or I'll kill you
1.0,@GrizzboAdams @wyattnuckels fuck you bruh you didn't show up fucking pussy
1.0,""" @rhythmixx_ :hobbies include: fighting Mariam""

bitch"
1.0,"&#8220;@SheTwirlsMyKan3: I say bitch bad, woman good, lady better&#8221; Lupe?"
1.0,"@CarelessOne92 weeknd make muzik for the hoes b, im tryna meet these women he be talkin bout"
0.0,@ariennajanee its mutual my lil yellow bone&#127827;
1.0,&#8220;@SoTribe_Kasey: I surrounded my bad bitches I can't keep them out my face&#8221;&#128064;&#128064; #WhereTheyAtDoe &#128514;
1.0,RT @BALTsneakerShow: Water is wet. RT @202SOLE: Nike DC is trash.
1.0,"&#8220;@sammyk1429: ""I am not a bitch, I am the bitch. So that is Ms. Bitch to you!"" &#128540;&#8221;"
1.0,#nowplaying witcha bitch pussy pussy inda hood ona sofa.wit plastic on it
0.0,RT @virleehol: @cbinflux Well we sure as heck know how to read. I'm reading the trash right now and almost everything I've heard on the web&#8230;
1.0,"""@XoXo__Angiee: Bruno fag boy"" you love me."
0.0,Flights from Liberia should just be rerouted to Ferguson.. 2 birds 1 stone.
0.0,"Sometimes, even I gotta tell these hoes to grow up smh"
1.0,@EricWithAHotDad bitch I work 24 hours a day to protect your freedom fuck you #AlwaysOnWatch #GlobalForceForGood
0.0,@ItsKiaraaaa looks like you took a red marker and colored on your leg
1.0,"@CarelessOne92 weeknd dont save hoes b, idunno bout Drake"
1.0,"&#8220;@HighClassCapri: Ima show my ass tonight, I can feel it &#128586;&#8221;omgggg I was thinking the same shit bitch&#128553;&#128553;"
0.0,Real talk not being byes or nothin! The whole NFC south glad bag trash this year none of the teams have a chance making it to the playoffs!
0.0,RT @charcharkuhlman: First day of spring break: ate half a pan of brownies &amp; watched 6 episodes of Parks and Rec with @victoriakuhlman &amp; @E&#8230;
0.0,"RT @robertbevan77: It's like The Walking Dead, but with less Carl and more talking birds. ZOMBIE ATTACK!!! http://t.co/UOCsPyksSC http://t.&#8230;"
0.0,One mans trash is another mans treasure #believe
0.0,@DeJLoaf mixtape sell sole got some bangers!
0.0,DRUGS&gt; Is why #Giants are losing. Just ask #barrybonds and the HEDGE BET FUND&gt; #WorldSeriesGame6 #faggots
0.0,GA Charlie @Charlie4927 @StacyDmomof5 @RevkahJC @PattiSM74 @cantUCIMblonde @Kacado
0.0,"RT @sweetromance: @1visionamd @Redeemed1952 @AZWS Once again, birds of a feather...."
1.0,"@JHannahhh oh you mean Noah zimmerman's cute ass &#128525;. I mean he should, he talks to his hoes all day everyday . &amp; his girl Courtney &#128514;&#128564; sooo"
0.0,"RT @SportsCenter: Peyton Manning's remarkable season:
&#8226; 5,477 Pass yds (NFL record)
&#8226; 55 Pass TD (NFL record)
&#8226; 450 completions
&#8226; likely ho&#8230;"
0.0,@BolandDrummer I have never once in my life been to a 'coffee shop' like Starbucks. I am a hick though.
0.0,I don't blame Crash for not sharing with you @geoffsheen760 you'll probably talk trash about it like you do food trucks #GeoffHatesPuppies
1.0,&#8220;@BlizzyLC: Police just tried to Rodney King a nigga...&#8221;happen to my nig out here
1.0,&#8220;@nhalegood: When hoes feel like their photo didnt get enough favorites http://t.co/ZDf98BpF94&#8221;
1.0,@jayswaggkillah Is a fag
0.0,"A light, tender yellow butter cake with a classic boiled icing, traditionally made from burnt sugar http://t.co/XPQKTlTNkH"
0.0,Stop rt'ing Celtics trash please
0.0,RT @AndrewLuck23: Charlie Crist says OCare has been great? #ccot #tcot #teaparty #PJNET #Independents @jjauthor @BettinaVLA @FLGovScott htt&#8230;
1.0,&#128514;&#128514;&#128514;RT @LiViBADD88: cheap hair.. cheap dresses.. cheap shoes.. tacky ass little bitches
0.0,RT @USAgov: Our national bird - the American bald eagle - is an endangered species success story. http://t.co/OJscNNMYEm
1.0,"&#8220;@dlogue22: Asians have short beds, my feet are hanging off the edge of the bed &#128514;&#8221; cuddle me bitch I'm right beside you"
0.0,RT @michael28754837: Come On Yankees Lets Keep This Game Going!!! We Must Win!!!!&#9918;&#65039;&#9918;&#65039;&#9918;&#65039;
0.0,RT @BrosConfessions: Charlie Sheen is a legend #ForTheBros http://t.co/nbYjumIkQA
1.0,&#8220;@ThaRealLilWang: Ur ex girlfriend is a slut&#8221; fr f dat hoe
1.0,"""@SheWentToJordan: Can't worry about a bitch that ain't worried bout me"" #real"
0.0,I rescued a baby bird &#128035; http://t.co/Ad7yy4CuQt
0.0,"RT @DonnieWahlberg: Happy #BLUBLOODS Friday! 

Off to @CBSNews to sit down with the gang on CBS This Morning!

Join us in the 8 o'clock ho&#8230;"
0.0,Cleveland is the best team for manziel honestly the OC can use the offense he had with the redskins &amp; the browns D is nice wit a def HC
0.0,RT @ErikaWCVB: @marthacoakley called Charlie Baker to concede around 8:15 this morning. She plans to address supporters at 11am. #wcvb
0.0,"When people really think I'm Asian I get offended,
Even though I make fun of my gook self"
1.0,@georgiathenewsa @Rosaalbae your tits may be better looking but her face makes you like a Asian or Latina tranny #facts
0.0,"RT @AntiJokeJamal: If you honk your horn .4 seconds after the light turns green, I will shut off my car, lay on the hood, and feed birds fo&#8230;"
1.0,@AceAlford_23 double up on this game bitch
0.0,Just cleaned my fingernails with a knife. #hillbilly @shanemoses625
1.0,@Hillgasm bitch need crutches
1.0,@Justin_Baez shut the fuck up faggot ass Knicks cock sucker your opinion is irrelevant fag
1.0,&#8220;@lifeof_brandon: @100046729 we'll be together&#128521;&#8221;yu gt a job hoe.
0.0,&#8220;@iSignMyOwnBoobs thats my fav part on Take Care&#8221;whole album trash
0.0,.@harmonica_b could be wearing a trash bag and she'd still be the stylish and coolest human I know
1.0,Fucking redneck queers and their game invites
0.0,"RT @1goodlookingman: Bees won, Mets won, and the Yankees lost. It's a good day in baseball."
0.0,I wanna go to a trash talk concert
0.0,RT @KarenRFM: No-TV-During-the-Week #parenting rule has thrown quite a monkey wrench into #RooseveltsPBS viewing schedule. #DVRtime @wcve #&#8230;
1.0,@JawShoeeAhhh lmao you're a bitch boy
0.0,"@kboydee like some of the ""worst"" lyrics they post are beautiful but just because they don't know what they're talking about, it's ""trash"""
0.0,@GregHillWAAF New show:Thursdays with Jinxy broadcast from the moon it's made of chunky blue cheese you know
1.0,@Jontel_20 &#128557; pussy
1.0,Johnny Rebel - Quit your bitchin' nigger!: http://t.co/uCGhrY7zGe
0.0,@THEHermanCain @redskins I'm not a liberal &amp; I support changing the name. It transcends standard political grandstanding.
0.0,"#rejectedpeanutsspecials Its The Grape Crackhead, Charlie Brown!"
1.0,"@MyNameShouldBe only one problem theres a ""no pussies allowed"" sorry @kerrythekilla..."
0.0,There's a bird nest in my garage and so now when the birds fly out they poop on my car. &#128529;
0.0,"Despite the zebra red rocket special, portland beats those jersey shore floppers."
0.0,@imjoshdean That's hoser eh to you. http://t.co/QuLrtOWmLB
0.0,RT @babiesdressup: What a silly little monkey &#128584; http://t.co/DMKLK4k147
1.0,"#PeopleToAvoid
Valerie Jarrett, so I control my reflex to bitch slap her."
1.0,""" &amp; you might not get ya bitch back &amp; thats that """
0.0,Tattoos are about expression not meaning. One mans trash is another mans treasure &#128161;&#128176;
0.0,@ConanOBrien dat is one ugly animal but da monkey is adorable.
1.0,Naw RT @BakeGriffin Am I the only one mad that ESPN gonna be talking about faggot ass Penn State all week?
1.0,"""Lmao @SWILLA_LO: The d.rose adidas are lighter than my phone .... Shit is retarded"""
1.0,@GlitteredInPink hoe don't tweet me
0.0,"RT @SimplyPerfectt_: Girls, don't let a guy treat you like a yellow starburst. You are a pink starburst."
0.0,RT @pambesteder: **WOW* according to this tweet by @Tarascan68 Obama must have been an Uncle Tom? http://t.co/Klcsgy9JPW
1.0,"#AZmonsoon lot of rain, too bad it wasn't enough to wash away the teabagger racist white trash in the state. #Tcot #teaparty #azflooding"
1.0,Ankles &#128128;&#128514;&#8220;@Saina_faal: &#8220;@martian_Mulah: Hood bitches with long weave is the worst thing ever&#8221; weave that be touching their ashy ankles &#128567;&#8221;
0.0,RT @michellemalkin: In which I refresh dhimmi Seattle mayor Ed Murray's poor memory of city's long history as a jihadi breeding ground==&gt; h&#8230;
1.0,&#8220;@alicia_688: He did go in i was actually surprised he when that hard RT @Vice504fly: N the crib listen 2 my nig G-Eazy&#8221;don't diss my homie
1.0,&#128563; RT @UBoyRock17: &#128557;&#128557;&#128557; these hoes selfish
1.0,@KEIRRANicolee I didn't know you was following me hoe &#128514;
1.0,"""I'm gonna piss on your dimple @SoNi99a_: Stop wasting prayers on trash teams lol"""
0.0,"RT @InNewZealand: The Knicks are still trash, Melo signed for the money he don't even care about being on a good winning team."
1.0,"""@Ferocious_Ghost: @1stName_Bravo Aw."" ...fag, don't tweet ""aw"" to me lol"
0.0,"RT @TwangNation: On this day , February 13, in 2002 Waylon Jennings left us for that honky-tonk in the sky - Dreaming My Dreams - ht ..."
1.0,"@GingerDemoness @jcapswgr 
All dem colored boys be sayin I dare baby daddy. I gots to protect my semen under da lock and key. And I wrap 2x"
1.0,@HTTRdcRising fuck your redskins bitch!
1.0,@FrankieJGrande ugly white bitch
0.0,John McCain trashes Jay Carny live on CNN - #Syria #ISIS #Obama http://t.co/ZT690BkTrI
1.0,"Flaming faggots that publicly state how they want everything handed to them... Like fuck you dude, get off your bottom ass and do something"
1.0,@Dre_Day200 nig nog
0.0,"@AngryWillHelms Genius, the politically correct term would be ""intellectually disabled."" It's highly offensive to use the word retarded."
1.0,"&#128114;&#128069;&#128166;&#128149; - &#128514;&#128557; omg just thinccin of you makes me laugh, we use to STAY talking shit in 3rd period, you cute, &amp; you my bitch &#9994;&#128514;&#128557;"
1.0,#truefriendtuesday my bitch @drrrruuuu http://t.co/7dSZ3vCySz
0.0,"@edwards_cait ghetto, driving a nice car, and not having to pay a lot for rent. I drive a Lexus, and pay little rent. Just saying."
0.0,@team_Darrion night jigaboo http://t.co/vxKCG4yGXF
1.0,@OfficialSkaiS kill yourself ugly ass monkey looking shit
0.0,"Lmao the shovel video is pretty awesome, she went down like a ton of bricks lol. Gotta love honky riff raff savages. That is all."
1.0,&#9996;&#65039; out bitch I'm winning &#128526; http://t.co/k3l15zoBGz
1.0,&#8220;@badnradbrad: @whattheflocka @MorbidMermaid sydneys my favorite&#8221; she's a nigger but I love her
0.0,RT @Yankees: The @EmpireStateBldg shines its lights in #Yankees pinstripes in honor of Derek Jeter. #FarewellCaptain http://t.co/3fp2pg85MB
1.0,&#8220;@scoop82294: If you don't have your read receipts on you a bitch&#8221; the bitchyest bitch ever
1.0,"&#128079; congrats you've turned a hoe into a housewife, don't get shitty when your guys start singing they hit it first. #ButThatsNoneOfMyBusiness"
0.0,People with trash cars LOVE to drive fast and reckless
0.0,Charlie Daniels Goes Off on &#8216;Satanic Evil&#8217; http://t.co/3haWjFavUz
1.0,&#8220;@JLewyville: I should be the Global Ambassador of SOMETHING!!! I put ppl on&#8221; des nuts hoe ahh nigga
0.0,"""@El_Grillo1: Pit Bulls Photographed As Lovely Fairy Tale Creatures http://t.co/Q0Sm89oOLh&#8221;

They *are* fairy tale creatures."
0.0,Smuggled letter by Gaza tunnel digger details suffering under Hamas rule http://t.co/jusiee1yhK via @TheMuslimIssue
1.0,""" her pussy lips like Heaven doors "" &#128524;"
1.0,@CheyenneDoan cause hes a faggot
0.0,Good pick birds
1.0,@AGreasyMonkey @Huntermoore faggot
1.0,@CapoDaAssHole @Alejandro_Bihhh lmaooo niggas ain't but hoes is I think I'm winning
1.0,@IHOP you fucking pussy
0.0,@AustinthaIntern Johnny football is trash man. Trash. Lol.
1.0,"I feel sorry for mexican and Asian niggas, they got the worse shaped bitches on earth."
0.0,Jihadi propaganda ploy:US had Gulf countries publish pics of their pilots 2 deflect Sunnis anger from itself &amp; iran http://t.co/pFxYby2c15
0.0,RT @davidalderman77: Obama killed the Twinkie #gonetofar
1.0,"""@molssyo: Lifes a bitch, and then you die 
Thats why we get high, cause you neva know when you're gonna go"" my sister is perfect (:"
0.0,@beth4158 no steak here either. No hurry on brownies. Just that picture u posted made me all but drool on my phone. :)
1.0,@el_prietito @lovexlilyy Them jigaboos aka homewreckers needs to get blocked!
0.0,"@TheRyanAdams word, bird"
0.0,"RT @JareerKassis: Charlie Rose: Can you coexist with Israel? Meshal: *Not* as occupiers. After that, national consensus will decide, not Ha&#8230;"
1.0,@jmellor432 fag
0.0,"I LOVE my 10 &amp; 5 but most days they remind me why birth control is important later in life.

I miss my ""baby bird""! Come home, 18!
@somehoee"
1.0,100 mile dead zone radius around Philly...gotta go to NY or DC RT @CeeRoss The tri state needs better bitches
0.0,I luh to lick the middle like an Oreo
1.0,"@PatDollard Fuckin muzzie cunts, should all be deported, savages"
0.0,"Re: Alexander Skarsgard, my roommate has declared: ""He's a sexy albino lizard. i dont know how that's sexy, but it kinda is."""
0.0,R-Surge For Charlie Baker-R of 9 points in Demo-State Mass against Coakley-D! DoG http://t.co/UOVtVG5nnM via @BostonGlobe
1.0,@skrabah Don't my nigga me honkie
0.0,He's a pretty damn good actor. But as a gay man it's awesome to see an openly queer actor given the lead role for a major superhero film.
0.0,Stephan A Smith saying Jay Cutlers shouldn't be a MVP candidate is just straight up retarded
1.0,""" Murda Gang bitch its Gang Land """
0.0,This is why nothing gets done. Morons like Coburn trying 2 ad a gun amendment 2 a public works bill. Push back on the #teabagger #morningjoe
0.0,"RT @bspence5: @Morning_Joe #msnbc new census questions=tempest in teapot,ACA stays,costs down,7.5mil+getting covered is a success story to &#8230;"
0.0,"@LandRoverUSA Our ""Disco"" we used for disaster recovery was an awesome brownie points to how well built they are. Most extreme conditions!"
0.0,They took it there bro you know I'm civil. RT @lilmissStoney: @VikkiNoSecrets wait a minute! Lol. Don't get ghetto V!
1.0,"#RebelScience ......is using an ACTUAL WOMAN as a genetic engineering lab for ""all natural clones""..... or something...... #faggot #rome"
1.0,&#8220;@zekedafreekk: Queen Latifah the only dyke id contemplate fucking.. Rns&#8221;wait...
0.0,WH: Obama won&#8217;t name Holder&#8217;s replacement until you rubes have already cast your midterm ballots - Hot Air http://t.co/Yf1o8h99Uz
0.0,@IAMQUEENLATIFAH @plated letz getup deep dish vocal mix Nagasaki Hiroshima yellow asian flu ^n emoto ill egg god? http://t.co/CH0XfVEKz9
1.0,#NL Q.U.E.E.N. And reminded: I still don't get why Janelle Monae is so perplexed that people think she's queer...
0.0,"RT @SMACKHighAZ: ""Seton Catholic where their own students talk trash about how low of a division there football team is in."""
0.0,@KristynEdwards why were there penguins and a bird in the puppy bowl???
0.0,"RT @ReginaPucket: http://t.co/6nqmor8ybC BREAKING DAWN/ I often think about what used to be and was
With rose-colored glasses and a gentle &#8230;"
0.0,Muzzled pit bull with throat slit found on side of road in PA http://t.co/fis8QNvlXu via @examinercom HIDEOUS ABUSE THROAT SLIT LEFT TO DIE
0.0,Charlie and Ron has constantly put out heat for their entire careers
0.0,@contrarian11 @YouTube yeah. great song. just watching the MSG concert of 1990 Yankee Stadium gig.
0.0,"@Danny_Cavanagh....available online soon? I didn't have enough to get it after my Anathema merch. It's a cracker, I need it. Can u....."
1.0,&#8220;@LoveLifeEst13: @__seriousLEE i aint gone lie &amp; old heads say they see it in me so i figured&#8221; nah you just retarded
0.0,"RT @hollyrpeete: #FarewellCaptain ""@espn: What a way for Derek Jeter to close his Yankee Stadium career."""
0.0,@ColeMcDowell2 Waco is ghetto hahaha. Wait til we go pick up nat in Austin tomorrow
1.0,1st game of Fall 7s.. finna kill some hoes
0.0,"""@socass_: Dude remember this wop video? @00sexilexi00 http://t.co/P3HEuBOQBu"" OMG WHERE DID YOU FIND THAT"
1.0,"&#8220;@m_stew4: @what_evaittakes lol the bitch not responding,&#8221;lol it's cool imma get one I jus trusted that more"
0.0,@Notsosweetpea I like brownies &#128546;
1.0,"#porn,#android,#iphone,#ipad,#sex,#xxx, | #Lingerie | Bitch in lingerie getting her wet cunt pounded http://t.co/Jp4r2vPyCb"
0.0,@dreadywhiteboy @JwanUrebay then the kid he sold it to brought it back to him cooked in a brownie
1.0,&amp; this bitch ask me why my jeans sag cuz they tryna hold my bandz up &#128176;
0.0,@Cee_Murda94 yellow fin
1.0,@Kellinquinn please acknowledge my existence you amazing son of a bitch
0.0,@Blackman38Tide bandana Orian. They called me trailer trash for wearing my lil country getup &#128545;
0.0,Money hungry hoes they can never get a crumb
1.0,I hate the white trash cops who raped and murdered my infant daughters and son.
1.0,@BraveConWarrior She is a bitch ! This mess is all BO's fault! ALL OF IT!
0.0,"Welcome to the family, Mia Meli! #new #puppy #adorable #cute #fluffy #mutt #mybaby #girl http://t.co/a27C1XueZP"
1.0,@D_41395 @Inwardforfun you a bitch Dennis
0.0,RT @ActuallyAmDolan: wen u look liek trash n sum1 complimentz u http://t.co/5AgYHBTFXh
1.0,@FabianMleal bitch lol
1.0,@BraxCity29 @maria_obregon_g @sophia_freeman1 3/4 of a citizen. I said it for you maria you spic
0.0,RT @TDOT_Italians: Sharing food with your mangia cake friends because they love your food #ItalianProblems
1.0,&#8220;@koleworld4: my name is stefanie ... &#128075;&#128075;&#128075;&#128075; stefanie&#128514;&#128540;&#8221;fuck u hoe &#128553;&#128530;&#128514;
0.0,RT @foodbibIe: Oreo Cheesecake Bars http://t.co/RT27crIqZj
0.0,@d6_9b idk... It's trash though!
0.0,"Dude was talmbout ""I don't know why everyone hates Nickelback!"" Because they're trash, that's why."
1.0,"""Takin it straight to dirt, why finger the pussy when I know I can put my dick in it?"" @xErnee18"
0.0,The family of Ron O'Neal needs to sue Wu-Tang for that trash song they released in his name.
0.0,@Decimate_IX Can't even spell right. You have the brain of an ape
1.0,&#8220;@surfboard101: @Vomitdatruth I'm outside your house #comeout&#8221; this bitch
1.0,&#8220;@BeautiifulVixen: Bitches love throwing that irrelevant shade &#9995;&#128553; go sit lil bitch .&#8221;&#128175;&#128175;&#128175;
1.0,My managers a stupid cunt yes I said it
1.0,"""If you're a bad bitch put your hands up high"" 
Every girl in the room starts waving there hands around."
0.0,"Jamaica populated with island hillbillies. Even linguistics are kind of the same, if you sub the accent. Olde English derivatives."
1.0,"""but pussy is the root of all drama an attribute put up in they head by they mama."""
1.0,@Issa_GOLD u think that dream has anything to do with those two dumb bitches in San Diego lol
1.0,"""These hoes keep callin but I ain't pickin up""&#127926;&#127926;"
0.0,Madea and this old hillbilly are hilarious together.
0.0,!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...
0.0,I'm not from the ghetto.
1.0,@1SonofYahweh and he whips mommy with the belt. They have not arrested this black womans real nigger yet. She got what she wanted... death!
0.0,"Whenever I see a pic captioned
""Soft ghetto"" I log off for 25 minutes"
1.0,@JustKarahn yes u hoe
1.0,"""She gotta shape up her pussy lips tho @PostPrettyPussy: Whole wheat organic pussy http://t.co/kq0R0A7z2g"""
0.0,"Charlie Crist and Rick Scott are both scumbags, however interesting that Crist has yet to run one, just one, positive political ad."
1.0,"""@BaylaaGottaBody: &#128514;&#128514;&#128514;&#128514; I ain't shit ."" Damn Skippy lol"
0.0,RT @NickSwagyPYoung: Happy Halloween from Rick James (aka Swaggy) and Charlie Murphy ( @bigmeat2000 ) haha darkness everybody http://t.co/y&#8230;
1.0,@samzbikowski some negro amigo pulled a gun on Nate and I a few weeks ago. I was STOKED!&#128299;&#128299;&#128299;
0.0,RT @SeQuoia_Gabris: &#8220;@UeonoYungJumbo: @SeQuoia_Gabris yeah hoe!&#8221; But the babies are innocent lol so Gabriella still got her sister a birthd&#8230;
1.0,"&#8220;@TheFatAmy: Uh excuse me bitch, you don't need to shout.&#8221; @LauraSimpson19 @jdjohnson7"
0.0,@kathleen_herne Stink should shut his hole &amp; just perform his tricks like a good trained monkey
0.0,@aj2amazing Obispo ho. We'll do it big
1.0,"' Indiana niggah you can tell from ma muhhfuckin grammar , I swear I got 3 hoes with me just like I'm Santa &#1041204;&#1043359; ."
1.0,"No. Its wrong to try to change #faggots&gt; There is no ""therapy"" so #tcot should understand and sympathize like they are #retards&gt;"
0.0,@TOBINSUPREME so trash
1.0,@RepGutierrez You are full of it! These so called children are not children. They are illegal border jumpers MS!# gang members.
1.0,"37- no, i dont like hoes"
0.0,"@icpchad @UnseeingEyes ......monkey look, just like you!"
1.0,' That one niggah that grab the AUX cord and start playen weak ass music &#1041204;&#1041204;&#1041204;&#1041204; http://t.co/KOdyDgPgjA
1.0,"RT ""@_ThatGAPeach: &amp; alla my niggas hot boys , so don't bring no ice in this bitch &#128130;&#8221;"
0.0,"RT @ArianaGrande: Oh Torrence, I can't stand your cheer leading squad but I love your pom poms... I'll feed you bon bons all night."
0.0,"Stop Smokin' Bathsalt, Charlie Brown! #rejectedpeanutsspecials"
0.0,A yellow jacket landed on my mouth and stung me while I was cutting grass..safe to say he won &#128029; http://t.co/caYUcS8O01
1.0,Fuck you ghetto ass coons
0.0,Put the redskins in your starting lineup instead of the Dolphins...it'll be fun they said.
0.0,@ThatChrisEckert Gobble de gook
1.0,"&#8220;@2Blunts1Jorge: Lol bitch funny, i was over you from the min i tossed your ass to the curb&#128567;&#8221; &#128588;&#128557;"
1.0,#DegenerateArtist Isn't a bitch walks back his words&gt; Isn't a WITCH who questions a TURD&gt; I'm a GLITCH WHO EVOLVES YOUR ABSURD!!!!!!!!!!!
1.0,"&#8220;@kaitlinfryer: Big oleeeee middle finger, bitch.&#8221;"
0.0,RT @mjxcx: Teachers trying to pronounce ghetto names on the 1st day of school.... https://t.co/8CjuAVL3Ct
0.0,@ScottFerrall @HowardStern PHOTOS: Kate Upton cheers on the Yankees at last night's game http://t.co/Q2SVYRHUDu
0.0,Why do visiting teams WHINE about right field as if it is longer for their batters. #Yankees #YankeeStadium
0.0,@daishialopez how could you say such a thing woman?! You have two functioning chest tables to hold your peanut butter and crackers!
0.0,RT @YahooFinance Two stocks to turn trash into cash http://t.co/MRmlxaCOXx
1.0,"@BillPeriman @Po_st 
I bet he would have gone ape shit and killed them all if they attacked Muslims."
0.0,RT @tracksideonline: There will be track sweeping during this yellow.
1.0,@asshole_king pats owner is a kike.
0.0,Or when you're in my neighborhood RT @clairelea18: You know you're in the mexcian ghetto when... http://t.co/1Vq0OcrseV
0.0,Would you be interested in some eggplant? RT @NittyScottMC: twerk on me http://t.co/75UftRuVDZ
1.0,&#8220;@nicekicks_nico: I see so many mad hoes on the tl. Tht shit should be illegal.&#8221;tbh
1.0,"""By the way we do punch bitches."""
0.0,It's the most hillbilly thought ever. A thing is a way ONE TIME or to ONE AUDIENCE and therefore it must be that way always.
0.0,"RT @breely216: The recommended serving size for brownies is ""all of them."""
0.0,"RT @fletchworld73: Pulled a dead bird from my garden. 

Grateful to be out of the hot sun, it winked at me with its rotting eye socket."
0.0,This store is SO redneck...
1.0,"@ImToBlame Apple TV got the NFL channel on that bitch, I'm pretty sure they're all on there. I've watched a couple. @DukeOfZamunda"
1.0,"""@Dietrich1892: Yall shut up:p"" make me bitch"
1.0,"&#8220;@MaRAtheeMODEL: Hoe fax = type yo bitch number in google to see if it pops up on back pagE

thank @HeartOfAHustlah&#8221; &#128514;&#128557;&#128514;&#128557;"
0.0,Yanks won't make the playoffs but we ain't in the AL basement. That's the Red Sox position:http://t.co/f7HXNDz1hy&#8221;
1.0,@KingLister10 @Sweet_Loveeee @_ItsCheese that shit chunky lol
1.0,&#128514;&#128557; I have to explore the pussy out there @Austin__321 http://t.co/GER0IPaBPA
1.0,@BosleyXavier I trip on acid not bitches.
